name,raw_value,mem_level,data_type,data_size,op_type,device
L1 Bandwidth,48742400000000,0,,,,pvc_xt_448xve
L3 Bandwidth,6092800000000,1,,,,pvc_xt_448xve
GTI Bandwidth,3481600000000,2,,,,pvc_xt_448xve
HBM Bandwidth,1311000000000.0,3,,,,pvc_xt_448xve
Int32 ADD Peak,12185600000000.0,,int,32,ADD,pvc_xt_448xve
Int64 ADD Peak,12185600000000.0,,int,64,ADD,pvc_xt_448xve
Float32 MAD Peak,24371200000000.0,,float,32,MAD,pvc_xt_448xve
Float64 MAD Peak,24371200000000.0,,float,64,MAD,pvc_xt_448xve
Float32 ADD Peak,12185600000000.0,,float,32,ADD,pvc_xt_448xve
Float64 ADD Peak,12185600000000.0,,float,64,ADD,pvc_xt_448xve
Float32 MATH Peak,3046400000000.0,,float,32,MATH,pvc_xt_448xve
